Date;Difficulty;Number of Solutions;Equal to Official Solution;Run-Time;Number of Black Squares;Number of Blank Squares;Symmetrical
13/02/2023;Diabolical;1;True;4225430000;20;56;False
07/02/2023;Moderate;1;True;6903000;21;47;False
26/05/2023;Moderate;1;True;20468000;21;49;False
02/12/2023;Diabolical;1;True;4687348000;19;55;False
16/12/2023;Moderate;1;True;16698000;22;46;False
07/10/2023;Diabolical;1;True;497606000;21;56;False
13/10/2023;Moderate;1;True;9422000;25;43;False
26/09/2023;Gentle;1;True;14345000;24;40;False
23/07/2023;Diabolical;1;True;389016000;22;54;False
22/07/2023;Tough;1;True;39801000;20;51;False
27/09/2023;Moderate;1;True;14346000;23;45;False
12/10/2023;Gentle;1;True;15631000;23;45;False
06/10/2023;Tough;1;True;172598000;17;54;False
17/12/2023;Tough;1;True;258027000;17;55;False
03/12/2023;Gentle;1;True;28583000;22;48;False
27/05/2023;Tough;1;True;2352204000;18;56;False
06/02/2023;Gentle;1;True;5786000;26;39;False
12/02/2023;Tough;1;True;34166000;22;53;False
23/05/2023;Tough;1;True;419606000;24;49;False
16/02/2023;Tough;1;True;32814000;21;54;False
02/02/2023;Gentle;1;True;6102000;24;40;False
07/12/2023;Gentle;1;True;4119000;25;41;False
13/12/2023;Tough;1;True;131575000;21;53;False
02/10/2023;Tough;1;True;261620000;25;51;False
16/10/2023;Gentle;1;True;4863000;23;41;False
26/07/2023;Tough;1;True;88341000;20;57;False
23/09/2023;Moderate;1;True;16942000;22;47;False
22/09/2023;Gentle;1;True;4130000;26;38;False
27/07/2023;Diabolical;1;True;1128623000;22;53;False
17/10/2023;Moderate;1;True;8947000;20;45;False
03/10/2023;Diabolical;1;True;74052000;21;57;False
12/12/2023;Moderate;1;True;51624000;23;44;False
06/12/2023;Diabolical;1;True;230014000;25;53;False
03/02/2023;Moderate;1;True;13430000;24;45;False
17/02/2023;Diabolical;1;True;2732411000;22;55;False
22/05/2023;Moderate;1;True;72049000;24;46;False
20/05/2023;Diabolical;1;True;3001280000;20;57;False
08/05/2023;Diabolical;1;True;7046255000;16;57;False
01/02/2023;Diabolical;1;True;2511737000;24;54;False
15/02/2023;Moderate;1;True;18281000;23;45;False
10/12/2023;Diabolical;1;True;290566000;20;56;False
04/12/2023;Moderate;1;True;43816000;20;45;False
29/10/2023;Moderate;1;True;11257000;20;47;False
15/10/2023;Diabolical;1;True;75815000;21;54;False
01/10/2023;Moderate;1;True;8982000;21;46;False
31/07/2023;Diabolical;1;True;2507326000;19;57;False
25/07/2023;Moderate;1;True;18322000;22;48;False
08/09/2023;Tough;1;True;54550000;20;53;False
20/09/2023;Tough;1;True;34388000;24;52;False
19/07/2023;Diabolical;1;True;1031182000;20;55;False
18/07/2023;Tough;1;True;14359280000;18;56;False
21/09/2023;Diabolical;1;True;5168857000;21;54;False
09/09/2023;Diabolical;1;True;1479471000;22;55;False
24/07/2023;Gentle;1;True;10350000;20;47;False
30/07/2023;Tough;1;True;95531000;23;51;False
14/10/2023;Tough;1;True;530285000;23;50;False
28/10/2023;Gentle;1;True;6139000;24;41;False
05/12/2023;Tough;1;True;292403000;20;53;False
11/12/2023;Gentle;1;True;7714000;26;39;False
14/02/2023;Gentle;1;True;8928000;22;45;False
09/05/2023;Gentle;1;True;3501000;27;38;False
28/02/2023;Tough;1;True;132704000;20;52;False
21/05/2023;Gentle;1;True;8521000;27;38;False
25/02/2023;Diabolical;1;True;131843000;20;54;False
19/02/2023;Moderate;1;True;13472000;20;48;False
10/05/2023;Moderate;1;True;7972000;20;46;False
04/05/2023;Diabolical;1;True;218345000;22;51;False
20/12/2023;Moderate;1;True;19290000;26;44;False
08/12/2023;Moderate;1;True;6428000;24;44;False
31/10/2023;Diabolical;1;True;946500000;20;56;False
25/10/2023;Moderate;1;True;16503000;22;45;False
19/10/2023;Diabolical;1;True;5830482000;17;58;False
29/07/2023;Moderate;1;True;9138000;22;47;False
04/09/2023;Tough;1;True;32559000;23;53;False
10/09/2023;Gentle;1;True;50529000;23;44;False
15/07/2023;Diabolical;1;True;189710000;25;51;False
01/07/2023;Moderate;1;True;22475000;21;47;False
14/07/2023;Tough;1;True;277225000;22;52;False
11/09/2023;Moderate;1;True;17892000;20;48;False
05/09/2023;Diabolical;1;True;92237000;18;54;False
28/07/2023;Gentle;1;True;5000000;26;37;False
18/10/2023;Tough;1;True;54419000;21;49;False
24/10/2023;Gentle;1;True;9461000;25;37;False
30/10/2023;Tough;1;True;657846000;23;53;False
09/12/2023;Tough;1;True;208520000;22;52;False
21/12/2023;Tough;1;True;39342000;24;49;False
05/05/2023;Gentle;1;True;14563000;26;41;False
18/02/2023;Gentle;1;True;11012000;21;46;False
11/05/2023;Tough;1;True;269817000;23;52;False
24/02/2023;Tough;1;True;1341195000;22;50;False
26/02/2023;Gentle;1;True;6590000;23;45;False
07/05/2023;Tough;1;True;34609000;16;56;False
13/05/2023;Gentle;1;True;6519000;25;38;False
23/12/2023;Gentle;1;True;10024000;22;46;False
26/10/2023;Tough;1;True;1619974000;20;52;False
13/09/2023;Diabolical;1;True;214740000;24;51;False
07/09/2023;Moderate;1;True;14619000;23;45;False
02/07/2023;Tough;1;True;71816000;22;51;False
16/07/2023;Gentle;1;True;7292000;24;39;False
17/07/2023;Moderate;1;True;121896000;22;46;False
03/07/2023;Diabolical;1;True;1000568000;19;57;False
06/09/2023;Gentle;1;True;16265000;24;44;False
12/09/2023;Tough;1;True;40768000;20;54;False
27/10/2023;Diabolical;1;True;58512000;23;52;False
22/12/2023;Diabolical;1;True;304825000;24;53;False
12/05/2023;Diabolical;1;True;274270000;18;55;False
06/05/2023;Moderate;1;True;33816000;20;50;False
27/02/2023;Moderate;1;True;13823000;23;45;False
02/05/2023;Moderate;1;True;16949000;20;48;False
16/05/2023;Diabolical;1;True;47596000;25;51;False
23/02/2023;Moderate;1;True;11564000;20;48;False
26/12/2023;Diabolical;1;True;65711000;16;56;False
23/10/2023;Diabolical;1;True;14321713000;21;55;False
07/07/2023;Diabolical;1;True;76027000;23;54;False
13/07/2023;Moderate;1;True;8607000;20;48;False
16/09/2023;Tough;1;True;23491000;22;52;False
02/09/2023;Gentle;1;True;7776000;24;41;False
03/09/2023;Moderate;1;True;12308000;26;42;False
17/09/2023;Diabolical;1;True;3623644000;17;55;False
12/07/2023;Gentle;1;True;4679000;24;42;False
06/07/2023;Tough;1;True;1217758000;21;54;False
22/10/2023;Tough;1;True;211883000;25;49;False
27/12/2023;Gentle;1;True;5981000;25;41;False
22/02/2023;Gentle;1;True;21784000;20;48;False
17/05/2023;Gentle;1;True;8100000;24;43;False
03/05/2023;Tough;1;True;586690000;22;51;False
15/05/2023;Tough;1;True;21507000;22;51;False
08/02/2023;Tough;1;True;405611000;22;51;False
01/05/2023;Gentle;1;True;8409000;20;48;False
29/05/2023;Gentle;1;True;5444000;23;41;False
20/02/2023;Tough;1;True;226196000;21;53;False
19/12/2023;Gentle;1;True;7347000;27;37;False
31/12/2023;Gentle;1;True;11644000;24;40;False
25/12/2023;Tough;1;True;32747000;20;51;False
08/10/2023;Gentle;1;True;10055000;20;47;False
20/10/2023;Gentle;1;True;46120000;24;44;False
10/07/2023;Tough;1;True;86282000;23;50;False
04/07/2023;Gentle;1;True;7035000;26;36;False
29/09/2023;Diabolical;1;True;4007986000;24;51;False
01/09/2023;Diabolical;1;True;1776397000;20;55;False
15/09/2023;Moderate;1;True;13736000;22;45;False
14/09/2023;Gentle;1;True;12471000;20;45;False
28/09/2023;Tough;1;True;385706000;22;50;False
05/07/2023;Moderate;1;True;15698000;24;45;False
11/07/2023;Diabolical;1;True;136564000;19;58;False
21/10/2023;Moderate;1;True;12494000;24;44;False
09/10/2023;Moderate;1;True;17668000;22;46;False
24/12/2023;Moderate;1;True;12660000;22;46;False
30/12/2023;Diabolical;1;True;998865000;20;57;False
18/12/2023;Diabolical;1;True;101201000;20;56;False
28/05/2023;Diabolical;1;True;47331000;24;52;False
21/02/2023;Diabolical;1;True;261320000;24;52;False
09/02/2023;Diabolical;1;True;904704000;20;57;False
14/05/2023;Moderate;1;True;19576000;22;46;False
06/11/2023;Moderate;1;True;12729000;24;44;False
12/11/2023;Diabolical;1;True;339461000;18;56;False
22/06/2023;Gentle;1;True;13295000;24;45;False
17/01/2023;Gentle;1;True;3977000;24;40;False
03/01/2023;Tough;1;True;186686000;24;52;False
27/08/2023;Tough;1;True;307854000;24;49;False
27/04/2023;Gentle;1;True;6115000;24;39;False
12/03/2023;Tough;1;True;196672000;22;50;False
06/03/2023;Gentle;1;True;6474000;24;39;False
07/03/2023;Moderate;1;True;24464000;21;48;False
13/03/2023;Diabolical;1;True;7113814000;22;53;False
26/04/2023;Diabolical;1;True;180150000;20;55;False
02/01/2023;Moderate;1;True;5259000;22;45;False
26/08/2023;Moderate;1;True;9877000;24;43;False
16/01/2023;Diabolical;1;True;166928000;22;51;False
23/06/2023;Moderate;1;True;15625000;21;48;False
13/11/2023;Gentle;1;True;5149000;26;39;False
07/11/2023;Tough;1;True;1567549000;24;50;False
11/11/2023;Tough;1;True;44846000;21;54;False
05/11/2023;Gentle;1;True;18615000;22;45;False
